Lab 08. Queueing System Modeling Results
Channels: 3, mu: 1, Simulation time: 120s
====================================================================================================
λ	P0(exp)	P0(theor)	Pn(exp)	Pn(theor)	Q(exp)	Q(theor)	A(exp)	A(theor)	K(exp)	K(theor)
----------------------------------------------------------------------------------------------------
0.50	0.6545	0.6076	0.0000	0.0127	1.0000	0.9873	0.4290	0.4937	0.3818	0.4937
1.00	0.3937	0.3750	0.0709	0.0625	0.9291	0.9375	0.9668	0.9375	0.9213	0.9375
1.50	0.2094	0.2388	0.1309	0.1343	0.8691	0.8657	1.3552	1.2985	1.3351	1.2985
2.00	0.1857	0.1579	0.2068	0.2105	0.7932	0.7895	1.5398	1.5789	1.4979	1.5789
2.50	0.0976	0.1084	0.2822	0.2822	0.7178	0.7178	1.6745	1.7946	1.8676	1.7946
3.00	0.0716	0.0769	0.3333	0.3462	0.6667	0.6538	1.9767	1.9615	1.9807	1.9615
3.50	0.0821	0.0563	0.3436	0.4021	0.6564	0.5979	2.0885	2.0926	1.9462	2.0926
4.00	0.0285	0.0423	0.4573	0.4507	0.5427	0.5493	2.1816	2.1972	2.2317	2.1972
4.50	0.0467	0.0325	0.4309	0.4929	0.5691	0.5071	2.2939	2.2819	2.1402	2.2819
5.00	0.0204	0.0254	0.5259	0.5297	0.4741	0.4703	2.0915	2.3517	2.3370	2.3517
